StepId,RecipeId,StepNumber,StepText
54,14,3,Nêm muối đường cho nước canh chua ngọt mặn vừa đủ. Thả cá vào chờ khoảng 5 phút cho cá chín. Thả rau vào nấu sôi lại. Nêm 1 tbsp nước mắm. Vớt cá ra đĩa. Để ớt lên trên. Cá chấm kèm nước mắm y.
55,14,4,Thêm tỏi phi và rau ngổ ngò gai vào canh cho thơm. Ăn kèm bún hoặc cơm đều ngon.
56,15,1,"Xắt rau mỏng, rửa sạch với nước."
57,15,2,"Băm tôm nõn. Tao qua tôm băm với dầu, hành tím và xíu muối."
58,15,3,"Nấu nồi nước sôi. Khi nước sôi mạnh, cho tôm xào và rau cải vào. Nêm nếm gia vị. Khi canh sôi lại, nêm lần nữa rồi tắt bếp. Dọn cơm ăn thôi."
59,16,1,"Su hào, cà rốt thái sợi mỏng. Nấm mèo ngâm nở, thái sợi."
60,16,2,"Thịt bò thái mỏng, ướp với bột bắp, nước mắm, dầu hào và tỏi phi trong 10 phút."
61,16,3,"Phi thơm tỏi với dầu, vớt tỏi ra để riêng. Xào nhanh thịt bò trên lửa lớn cho vừa chín, trút ra đĩa."
62,16,4,"Xào su hào, cà rốt, nấm mèo với chút dầu hào cho vừa chín tới."
63,16,5,"Cho bò đã xào vào đảo đều, nêm lại gia vị, thêm hành lá, tiêu và tỏi phi rồi tắt bếp."
64,17,1,"Cá nục hấp rửa qua, thấm khô và cho vào chảo, thêm dầu ăn vào. Cá khi chiên cần thấm khô hoặc thêm ít bột áo bên ngoài để hạn chế dầu bắn ra ngoài"
65,17,2,"Để lửa trung bình, chiên từ từ cho cá chín bên trong và giòn"
66,17,3,Cá chín giòn một bên hẵng chiên tiếp mặt còn lại để tránh cá bị dính chảo và không giòn. Cá chín để ráo dầu mới gắp ra dĩa
67,18,1,"Đuôi heo bóp muối rửa sạch, trụng qua, rửa kỹ lại và nấu 1,5l nước với 2mcf muối, ít hạt nêm"
68,18,2,Đuôi heo gần mềm thì cho khoai vào nấu cùng
69,18,3,"Khi khoai mềm thì múc ra tô, thêm hành ngò và tiêu xay"
70,19,1,"Nấu chín nấm hương, ngô và cà rốt."
71,19,2,"Nấm hương thái hạt lựu, hành lá, cà rốt hạt lựu, hạt ngô."
72,19,3,Băm nhỏ ức gà rồi cho vào bát.
73,19,4,"Thêm các nguyên liệu phụ rau củ vào. 2 muỗng xì dầu, 1 muỗng rượu nấu ăn, 1/2 muỗng hắc xì dầu"
74,19,5,Thêm 1/2 muỗng tiêu đen xay và 2 muỗng bột bắp. Thêm một ít muối và 1 muỗng dầu hào.
75,19,6,"Thêm đậu hũ non bóp nhuyễn. Trộn đều, ướp 30 phút."
76,19,7,"Cho ít dầu vào chảo, cho miếng chả gà đã tạo hình vào."
77,19,8,Rán đến khi hai mặt vàng là được.
78,20,1,Sườn ngâm cùng muối + bột mỳ trong 20p cho nhả chất bẩn rồi mang ra rửa sạch. Để ráo nước hoặc lấy khăn lau khô.
79,20,2,"Cho sườn vào âu + 1 tcf baking soda, 1 quả trứng gà nhỏ, 1/2 thìa ăn phở hạt nêm, xíu tiêu, 1/2 thìa ăn phở rượu, 2-2,5 thìa ăn phở bột bắp + 1 thìa ăn phở tinh bột khoai tây, 2 thìa ăn phở dầu ăn. Trộn đều ướp 30p-40p."
80,20,3,Khoai lang gọt vỏ bào sợi.
81,20,4,"Cho dầu ăn vào chảo, cho khoai vào chiên vàng hơi ngả nâu thì vớt ra rồi cho sườn vào chiên lửa trung bình cho vàng nhẹ lần 1. Vớt ra cho nghỉ 10p thì rán lần 2 cho chín giòn. Xếp ra đĩa"
82,20,5,"Cho dầu ăn vào chảo, cho tỏi băm vào đảo cho thơm rồi thả hành tây thái vào đảo. Pha 1/2 bát con nước cùng 1 thìa ăn phở xì dầu, 1 thìa ăn phở xì dầu, 1/2 tcf đường. Quậy đều cho vô đun 3-5p lửa nhỏ rồi vớt hành tây tỏi ra (có thể lọc qua rây). Sau đó quậy ít bột năng (hoặc bột ngô) cho vào cho sánh rồi phủ lên sườn (hoặc bỏ qua nước sốt ăn sườn rán cũng ngon ạ) ^^"
