RecipeId,IngredientId,Quantity,IngredientName,tokens,IngredientClean,IngredientProcessed
102,707,1 muỗng cà phê,hạt nêm,"['hạt', 'nêm']",hạt nêm,hạt_nêm
102,708,1/2 muỗng cà phê,mì chính,"['mì', 'chính']",mì chính,mì_chính
102,709,1/2 muỗng cà phê,hạt tiêu,"['hạt', 'tiêu']",hạt tiêu,hạt_tiêu
102,710,1 muỗng cà phê,tương ớt,['tương ớt'],tương ớt,tương_ớt
104,711,3 miếng,cá hố,"['cá', 'hố']",cá hố,cá_hố
104,712,50 ml,dầu ăn,"['dầu', 'ăn']",dầu ăn,dầu_ăn
104,713,1 ít,muối,['muối'],muối,muối
105,714,500 gr,cá đối,"['cá', 'đối']",cá đối,cá_đối
105,715,,mỡ,['mỡ'],mỡ,mỡ
105,716,,nước mắm,"['nước', 'mắm']",nước mắm,nước_mắm
105,717,,đường,['đường'],đường,đường
105,718,,bột ngọt,"['bột', 'ngọt']",bột ngọt,bột_ngọt
105,719,,nước màu,"['nước', 'màu']",nước màu,nước_màu
105,720,,tiêu,['tiêu'],tiêu,tiêu
105,721,,ớt,['ớt'],ớt,ớt
106,722,400 g,cá thác lác,"['cá', 'thác', 'lác']",cá thác lác,cá_thác_lác
106,723,10 g,hành lá,"['hành', 'lá']",hành lá,hành_lá
106,724,,gia vị,['gia vị'],gia vị,gia_vị
107,725,400 g,xương heo,"['xương', 'heo']",xương heo,xương_heo
107,726,1 chén,nước mắm,"['nước', 'mắm']",nước mắm,nước_mắm
107,727,1 mc,tỏi,['tỏi'],tỏi,tỏi
107,728,,gia vị,['gia vị'],gia vị,gia_vị
108,729,300 gr,bột bánh mì,"['bột', 'bánh mì']",bột bánh mì,bột_bánh_mì
108,730,10 gr,dầu oliu,"['dầu', 'oliu']",dầu oliu,dầu_oliu
