IngredientId,RecipeId,IngredientName,Quantity
1,1,cà rốt,2 củ
2,1,khoai tây,2 củ
3,1,bí đỏ,1 miếng
4,1,thịt heo,150 g
5,1,hành lá,1 cây
6,1,muối,1 ít
7,1,bột ngọt,1 ít
8,2,dứa,1/2 Quả
9,2,tỏi,3 tép
10,2,ớt,1/2 quả
11,2,sả,2 cây
12,2,Mắm nêm,1 chai
13,2,đường,3 Thìa
14,3,tép,300 g
15,3,thịt heo,100 g
16,3,hành lá,30 g
17,3,Gia vị,
19,5,đùi gà,1 cái
20,5,sa tế,1 mcf
21,5,hạt nêm,1/2 mcf
22,5,tiêu,1/2 mcf
34,7,thịt heo,300 g
35,7,rong biển,2 gói
36,7,cơm,2 chén
37,7,Gia vị,
41,9,trứng gà,2 cái
42,9,sữa  (1 bịch),220 ml
43,9,đường,2 muỗng cafe
44,10,rau mầm cải ngọt (hoặc loại nào tùy thích),100 gr
45,10,cà chua,100 gr
46,10,"táo (hoặc các loại quả khác: dâu , mận ...)",1 trái
47,10,trứng gà,1 quả
48,10,trứng cút,10 quả
49,10,chanh dây ( chanh leo ),100 gr
50,11,đậu hũ,2 miếng
51,11,rau răm,1 ít
52,11,Dầu ăn,
53,12,nấm bào ngư,150 gr
54,12,cà chua,2 quả
55,12,hạt nêm,1 muỗng cà phê
56,12,muối,1 ít
57,12,đường,1 ít
58,12,hành lá,1 ít
59,13,bắp ngọt,1 trái
60,13,tóp mỡ,Ít
61,13,trứng gà,2 trái
62,13,hành lá,10 g
63,13,Nước mắm,
64,14,cá bớp,500 gr
65,14,rau muống,1 nắm
66,14,bắp chuối,1 nắm
67,14,kèo nèo,1 nắm
68,14,cà chua,1 trái
69,14,rau nhút,1 nắm
70,14,"rau ngổ , ngò gai",1 ít
71,14,me,1 vắt
72,14,tỏi,1 tbsp
73,14,ớt,3-4 lát
74,14,"Gia vị: muối, đường, nước mắm",
75,15,rau cải xanh / cải đắng,1 bó
76,15,tôm ,150 gr
77,15,"gia vị: hành tím, muối, bột ngọt",
78,16,Thịt bò,200 g
79,16,(200g) Su hào,1 củ
80,16,(50g) Cà rốt,1/2 củ
81,16,Nấm mèo,5 g
82,16,Hành lá,2 nhánh
83,16,Bột bắp,1 thìa cà phê
84,16,Tỏi,3 tép
85,16,Dầu ăn,1 thìa canh
86,16,Nước mắm,1 thìa canh
87,16,Dầu hào,1 thìa canh
88,16,Tiêu,1/4 thìa cà phê
89,17,cá nục,3 con
