StepImageId,StepId,ImageUrl
34,28,https://img-global.cpcdn.com/steps/1164193c6c90da5d/160x128cq80/c%C6%A1m-rong-bi%E1%BB%83n-th%E1%BB%8Bt-n%C6%B0%E1%BB%9Bng-recipe-step-3-photo.jpg
35,29,https://img-global.cpcdn.com/steps/8c7e271b426fcf7d/160x128cq80/b%E1%BB%AFa-c%C6%A1m-gia-dinh-v%E1%BB%9Bi-cac-mon-an-t%E1%BB%AB-th%E1%BB%8Bt-heo-recipe-step-1-photo.jpg
36,29,https://img-global.cpcdn.com/steps/3ff33b26387bbd34/160x128cq80/b%E1%BB%AFa-c%C6%A1m-gia-dinh-v%E1%BB%9Bi-cac-mon-an-t%E1%BB%AB-th%E1%BB%8Bt-heo-recipe-step-1-photo.jpg
37,30,https://img-global.cpcdn.com/steps/c752f5b49ddcc11d/160x128cq80/b%E1%BB%AFa-c%C6%A1m-gia-dinh-v%E1%BB%9Bi-cac-mon-an-t%E1%BB%AB-th%E1%BB%8Bt-heo-recipe-step-2-photo.jpg
38,30,https://img-global.cpcdn.com/steps/777506500ecd6fa0/160x128cq80/b%E1%BB%AFa-c%C6%A1m-gia-dinh-v%E1%BB%9Bi-cac-mon-an-t%E1%BB%AB-th%E1%BB%8Bt-heo-recipe-step-2-photo.jpg
39,31,https://img-global.cpcdn.com/steps/b0546b6c943a0eee/160x128cq80/b%E1%BB%AFa-c%C6%A1m-gia-dinh-v%E1%BB%9Bi-cac-mon-an-t%E1%BB%AB-th%E1%BB%8Bt-heo-recipe-step-3-photo.jpg
40,31,https://img-global.cpcdn.com/steps/b246edd4a62ce538/160x128cq80/b%E1%BB%AFa-c%C6%A1m-gia-dinh-v%E1%BB%9Bi-cac-mon-an-t%E1%BB%AB-th%E1%BB%8Bt-heo-recipe-step-3-photo.jpg
41,32,https://img-global.cpcdn.com/steps/2dad1eae0ce8cf8f/160x128cq80/b%E1%BB%AFa-c%C6%A1m-gia-dinh-v%E1%BB%9Bi-cac-mon-an-t%E1%BB%AB-th%E1%BB%8Bt-heo-recipe-step-4-photo.jpg
42,33,https://img-global.cpcdn.com/steps/83bf9cd64c8721c3/160x128cq80/long-tr%E1%BA%AFng-tr%E1%BB%A9ng-h%E1%BA%A5p-s%E1%BB%AFa-t%C6%B0%C6%A1i-recipe-step-1-photo.jpg
43,33,https://img-global.cpcdn.com/steps/d00907a3caaeddf6/160x128cq80/long-tr%E1%BA%AFng-tr%E1%BB%A9ng-h%E1%BA%A5p-s%E1%BB%AFa-t%C6%B0%C6%A1i-recipe-step-1-photo.jpg
44,34,https://img-global.cpcdn.com/steps/b677ee82902f8854/160x128cq80/long-tr%E1%BA%AFng-tr%E1%BB%A9ng-h%E1%BA%A5p-s%E1%BB%AFa-t%C6%B0%C6%A1i-recipe-step-2-photo.jpg
45,34,https://img-global.cpcdn.com/steps/201d2e1a611de804/160x128cq80/long-tr%E1%BA%AFng-tr%E1%BB%A9ng-h%E1%BA%A5p-s%E1%BB%AFa-t%C6%B0%C6%A1i-recipe-step-2-photo.jpg
46,34,https://img-global.cpcdn.com/steps/1c31998478531876/160x128cq80/long-tr%E1%BA%AFng-tr%E1%BB%A9ng-h%E1%BA%A5p-s%E1%BB%AFa-t%C6%B0%C6%A1i-recipe-step-2-photo.jpg
47,35,https://img-global.cpcdn.com/steps/4f9fe604d28d4e45/160x128cq80/long-tr%E1%BA%AFng-tr%E1%BB%A9ng-h%E1%BA%A5p-s%E1%BB%AFa-t%C6%B0%C6%A1i-recipe-step-3-photo.jpg
48,36,https://img-global.cpcdn.com/steps/552f3eae41fbbd0a/160x128cq80/long-tr%E1%BA%AFng-tr%E1%BB%A9ng-h%E1%BA%A5p-s%E1%BB%AFa-t%C6%B0%C6%A1i-recipe-step-4-photo.jpg
49,37,https://img-global.cpcdn.com/steps/2b4c0310fc6ff110/160x128cq80/salad-rau-m%E1%BA%A7m-v%E1%BB%9Bi-tr%E1%BB%A9ng-recipe-step-1-photo.jpg
50,37,https://img-global.cpcdn.com/steps/96823751d9e8d453/160x128cq80/salad-rau-m%E1%BA%A7m-v%E1%BB%9Bi-tr%E1%BB%A9ng-recipe-step-1-photo.jpg
51,37,https://img-global.cpcdn.com/steps/0788856cde55c3b1/160x128cq80/salad-rau-m%E1%BA%A7m-v%E1%BB%9Bi-tr%E1%BB%A9ng-recipe-step-1-photo.jpg
